specialization,title,company,salary,location,office,remote,years_of_experience,skills
javascript,"Технічний спеціаліст (HTML, CSS, JS)",Arknet,0,0,0,1,1,"CSS,HTML,Ведення CRM,JavaScript"
javascript,"Junior Full Stack Developer (JS, C#)",IT-Enterprise,0,0,0,1,1,0
javascript,"Програміст JavaScript, Wordpress, TypeScript, розробник додатків","Шостак, ФОП",20000–60000,0,0,1,1,"Програмування,вайбкодинг,JavaScript,Python,результативність,команда,чесність"
java,"Менеджер з продажу (поліграфічні матеріали, клеї)","Ява-Ін, ТОВ",30000–90000,Київ,1,0,5,"Комунікабельність,Аналітичне мислення,Аналіз ринку,Прямий продаж,Продаж B2B,Продаж,Чесність,Орієнтація на результат"
java,Kotlin Developer (Java),Moodro,0,Київ,1,0,2,"Java,MySQL,SQL,Git,GitHub,GitLab,Python,PostgreSQL,Docker,Apache Maven,Hibernate,Spring Boot,REST API,REST,Jenkins,JPA,Kotlin,Gradle,Grafana,Продуктивність,CI/CD"
java,Middle Java Developer,IncoreSoft,0,0,0,1,2,"Java,SQL,REST API,REST,gRPC"
java,Junior Java Developer,Idevone,15000–30000,0,0,1,0,"Java,Git,PostgreSQL,Знання принципів ООП,Робота в команді,Spring Boot,REST API,REST,Робота з базою даних,CRUD,Бажання вчитися і розвиватися"
java,"Middle Back-End Developer (Java, Spring, AWS)",Арт Девелопмент,80000–100000,0,0,1,2,"Java,Scrum,Docker,Spring Boot,REST API,Робота з базою даних,Jenkins,AWS,NoSQL,WebSocket,SOLID Principles,CI/CD"
java,Junior Java Developer,"Іваненко О. Б., ФОП",33000–35000,0,0,1,1,"Java,Spring Boot,Spring Data,Spring,SpringBoot"
java,Java Developer,"Агротеп, ТОВ",0,Київ,1,0,2,"CSS,JavaScript,Java,HTML,MySQL,Користувач ОС Windows,Git,Bootstrap,PostgreSQL,Oracle Database,jQuery,Docker,Знання принципів MVC,Spring MVC,Apache Maven,Hibernate,Eclipse,IntelliJ IDEA,Знання технологій JDBC,Spring Boot,REST API,REST,Apache Tomcat"
java,"Android Developer (Kotlin, Java)",Topfollow app,70000–200000,0,0,1,40200,"Java,XML,OkHttp,RxJava,Kotlin,MVVM,Retrofit,Clean Architecture,RecyclerView,Продуктивність,Jetpack Compose,UI-дизайн,Charles,Backend-розробка"
java,Senior Java Backend Engineer,6 центр рекрутингу Сил Безпілотних Систем (СБС),50000,Вся Україна,1,0,1,"Java,Відповідальність,Docker,Unit-тестування,Робота з базою даних,Ведення документації,Backend-розробка,Проактивність,CI/CD"
java,Senior Java Developer,Укр.Пей,0,Київ,1,0,0,"GitLab,Node.js,Docker,Знання принципів MVC,Spring MVC,Apache Maven,Знання технологій JDBC,Spring Framework,Spring Boot,Spring Security,Spring Data,REST,Робота з базою даних,RabbitMQ,Kubernetes,Доброзичливість,Apache Kafka,Розробка API"
java,Java/PHP Developer,Кваліті Юніт Україна,0,0,0,1,0,"Java,PHP,MS Access"
java,Middle Java Engineer,Nix,0,0,0,1,2,"JavaScript,Java,Git,React,XML,JSON,Scrum,Docker,TypeScript,JUnit,Unit-тестування,Spring Boot,REST API,REST,Робота з базою даних,Jenkins,AWS,Mockito,Ініціативність,NoSQL,Kubernetes,Java Message Service,Продуктивність,Мікросервісна архітектура,CI/CD,Splunk"
java,Junior Java Developer,Nix,0,0,0,1,1,"JavaScript,Java,Java Core,Git,React,Відповідальність,Docker,Apache Maven,Hibernate,Spring Framework,Spring Boot,HTTP,REST API,Angular,Програмування,Робота з базою даних,Gradle,NoSQL,SOLID Principles,Бажання вчитися і розвиватися,ORM"
java,Senior Java Engineer,Nix,0,0,0,1,5,"Java,SQL,GitLab,React,XML,JSON,Docker,TypeScript,Spring Boot,REST API,REST,Робота з базою даних,Jenkins,AWS,Ініціативність,NoSQL,Kubernetes,Java Message Service,Продуктивність,CI/CD"
